                                                   Coefficient  Std Error      t-value         P-value  Confidence Interval (0.025)  Confidence Interval (0.975)
Cune (CVNE) 2014                                     -0.190719   0.135209    -1.410544      0.15838428                    -0.455730                     0.074292
Cune (CVNE) 2015                                      0.006052   0.128273     0.047184      0.96236637                    -0.245363                     0.257468
Cune (CVNE) 2016                                     -0.035368   0.135209    -0.261582      0.79364428                    -0.300380                     0.229643
Cune (CVNE) 2017                                     -0.021301   0.135209    -0.157543      0.87481745                    -0.286312                     0.243710
Cune (CVNE) 2018                                     -0.084709   0.153308    -0.552539      0.58058142                    -0.385194                     0.215776
Cupcake 2011                                         -0.534366   0.153308    -3.485565     0.00049145*                    -0.834851                    -0.233881
Cupcake 2012                                         -0.484749   0.153308    -3.161921     0.00156811*                    -0.785234                    -0.184264
Cupcake 2013                                         -0.480617   0.153308    -3.134970      0.00171956                    -0.781102                    -0.180132
Cupcake 2014                                         -0.568186   0.153308    -3.706163    0.00021061**                    -0.868671                    -0.267701
Cusumano 2012                                        -0.337085   0.153308    -2.198740      0.02790026                    -0.637570                    -0.036600
Cusumano 2013                                        -0.267959   0.143409    -1.868494      0.06169825                    -0.549041                     0.013123
Cusumano 2014                                        -0.177265   0.143409    -1.236080      0.21643358                    -0.458348                     0.103817
Cusumano 2015                                        -0.227648   0.153308    -1.484904      0.13757450                    -0.528133                     0.072837
Cusumano 2016                                        -0.121011   0.153308    -0.789328      0.42992334                    -0.421496                     0.179474
Cusumano 2017                                        -0.017802   0.143409    -0.124133      0.90121027                    -0.298884                     0.263281
Cusumano 2018                                         0.027876   0.143409     0.194381      0.84587811                    -0.253206                     0.308958
DAOU 2014                                             0.453209   0.095621     4.739634  0.00000215****                     0.265791                     0.640626
DAOU 2015                                             0.447083   0.101418     4.408313   0.00001044***                     0.248303                     0.645863
DAOU 2016                                             0.354984   0.093072     3.814071    0.00013684**                     0.172562                     0.537405
DAOU 2017                                             0.413556   0.088532     4.671253  0.00000300****                     0.240032                     0.587079
DAOU 2018                                             0.436312   0.086498     5.044194  0.00000046****                     0.266776                     0.605848
DAOU 2019                                             0.260929   0.090717     2.876304      0.00402506                     0.083124                     0.438735
DAOU 2020                                             0.307504   0.082818     3.713004    0.00020500**                     0.145180                     0.469827
Dal Pizzol 2014                                      -0.327968   0.117100    -2.800743      0.00510017                    -0.557485                    -0.098451
Dancing Flame 2018                                   -0.482824   0.165589    -2.915789      0.00354923                    -0.807379                    -0.158268
Dancing Flame 2019                                   -0.270936   0.165589    -1.636194      0.10180422                    -0.595492                     0.053619
Darioush 2012                                         0.548836   0.143409     3.827066    0.00012981**                     0.267754                     0.829918
Darioush 2013                                         0.564149   0.143409     3.933843    0.00008369**                     0.283066                     0.845231
Darioush 2014                                         0.593415   0.135209     4.388854   0.00001141***                     0.328404                     0.858426
Dark Horse 2013                                      -0.441827   0.165589    -2.668206      0.00762782                    -0.766382                    -0.117271
Dark Horse 2014                                      -0.415774   0.165589    -2.510873      0.01204594                    -0.740330                    -0.091218
Dark Horse 2015                                      -0.327187   0.153308    -2.134179      0.03283223                    -0.627673                    -0.026702
Dark Horse 2016                                      -0.146864   0.143409    -1.024094      0.30579520                    -0.427947                     0.134218
Dark Horse 2017                                      -0.282938   0.143409    -1.972946      0.04850634                    -0.564021                    -0.001856
Dark Horse 2018                                      -0.350775   0.153308    -2.288033      0.02213913                    -0.651260                    -0.050290
Dark Horse 2019                                      -0.297543   0.153308    -1.940812      0.05228579                    -0.598028                     0.002942
De Bortoli 2015                                      -0.526837   0.067633    -7.789611  0.00000000****                    -0.659399                    -0.394276
De Bortoli 2016                                      -0.561978   0.070637    -7.955813  0.00000000****                    -0.700428                    -0.423528
De Bortoli 2017                                      -0.383801   0.072878    -5.266343  0.00000014****                    -0.526643                    -0.240960
De Martino 2011                                      -0.156890   0.122305    -1.282774      0.19957613                    -0.396609                     0.082829
De Martino 2012                                      -0.274543   0.112508    -2.440203      0.01468192                    -0.495059                    -0.054026
De Martino 2013                                      -0.169936   0.104743    -1.622417      0.10471947                    -0.375232                     0.035360
De Martino 2014                                      -0.112776   0.104743    -1.076694      0.28162131                    -0.318072                     0.092520
De Martino 2015                                      -0.107498   0.117100    -0.918001      0.35862216                    -0.337015                     0.122019
De Martino 2016                                      -0.038406   0.101418    -0.378692      0.70491824                    -0.237186                     0.160374
DeLoach 2012                                         -0.091859   0.128273    -0.716124      0.47391784                    -0.343275                     0.159556
DeLoach 2014                                         -0.042374   0.143409    -0.295479      0.76762910                    -0.323457                     0.238708
DeLoach 2016                                          0.029075   0.143409     0.202741      0.83933782                    -0.252007                     0.310157
Decoy 2011                                           -0.079052   0.181391    -0.435812      0.66297469                    -0.434580                     0.276475
Decoy 2012                                           -0.115344   0.181391    -0.635886      0.52485337                    -0.470872                     0.240183
Decoy 2013                                           -0.017821   0.181391    -0.098244      0.92173856                    -0.373348                     0.337707
Decoy 2014                                            0.015959   0.181391     0.087984      0.92988984                    -0.339568                     0.371487
Decoy 2015                                            0.081477   0.181391     0.449180      0.65330337                    -0.274050                     0.437005
Decoy 2016                                            0.027758   0.181391     0.153030      0.87837529                    -0.327769                     0.383286
Decoy 2017                                            0.074761   0.181391     0.412153      0.68022850                    -0.280767                     0.430289
Decoy 2018                                            0.006225   0.181391     0.034319      0.97262286                    -0.349302                     0.361753
Decoy 2019                                            0.090722   0.181391     0.500143      0.61697626                    -0.264806                     0.446249
Dehesas Viejas 2013                                  -0.702891   0.181391    -3.875001    0.00010674**                    -1.058419                    -0.347364
Delas 2010                                           -0.045036   0.108417    -0.415395      0.67785419                    -0.257534                     0.167462
Delas 2011                                            0.064480   0.117100     0.550637      0.58188431                    -0.165037                     0.293997
Delas 2012                                            0.081463   0.108417     0.751389      0.45242188                    -0.131035                     0.293962
Delas 2013                                            0.034814   0.108417     0.321116      0.74812399                    -0.177684                     0.247313
Delas 2014                                            0.121424   0.108417     1.119971      0.26273066                    -0.091074                     0.333922
Delas 2015                                            0.165058   0.108417     1.522433      0.12790601                    -0.047440                     0.377556
Delas 2016                                            0.211700   0.112508     1.881643      0.05988940                    -0.008816                     0.432217
Delas 2017                                            0.235698   0.112508     2.094944      0.03618026                     0.015182                     0.456215
Delas 2018                                            0.145567   0.108417     1.342656      0.17938851                    -0.066931                     0.358065
Delas 2019                                            0.037772   0.128273     0.294467      0.76840175                    -0.213643                     0.289188
Delicato 2016                                        -0.110405   0.165589    -0.666741      0.50494012                    -0.434961                     0.214151
Delicato 2017                                        -0.008308   0.153308    -0.054189      0.95678474                    -0.308793                     0.292177
Delicato 2018                                         0.123573   0.181391     0.681250      0.49571620                    -0.231955                     0.479100
Descendientes de J. Palacios 2011                     0.257194   0.143409     1.793427      0.07290974                    -0.023889                     0.538276
Descendientes de J. Palacios 2012                     0.331090   0.153308     2.159632      0.03080519                     0.030605                     0.631575
Descendientes de J. Palacios 2013                     0.507304   0.153308     3.309043     0.00093671*                     0.206819                     0.807789
Descendientes de J. Palacios 2014                     0.307009   0.181391     1.692526      0.09055093                    -0.048518                     0.662537
Descendientes de J. Palacios 2015                     0.445617   0.181391     2.456660      0.01402639                     0.090089                     0.801144
Descendientes de J. Palacios 2016                     0.390436   0.181391     2.152452      0.03136584                     0.034908                     0.745963
Descendientes de J. Palacios 2017                     0.349679   0.165589     2.111722      0.03471451                     0.025123                     0.674234
Di Majo Norante 2011                                 -0.302540   0.165589    -1.827050      0.06769723                    -0.627096                     0.022016
Di Majo Norante 2012                                 -0.288048   0.153308    -1.878880      0.06026575                    -0.588533                     0.012437
Di Majo Norante 2013                                 -0.179256   0.153308    -1.169254      0.24230591                    -0.479741                     0.121229
Diablo 2015                                           0.268777   0.286791     0.937188      0.34866580                    -0.293335                     0.830889
Diablo 2017                                           0.605273   0.286791     2.110499      0.03481956                     0.043161                     1.167385
Diablo 2018                                           0.138264   0.286791     0.482108      0.62973095                    -0.423848                     0.700376
Diablo 2020                                           0.137137   0.286791     0.478178      0.63252547                    -0.424975                     0.699249
DiamAndes 2014                                       -0.023981   0.202798    -0.118252      0.90586850                    -0.421467                     0.373504
Diemersfontein 2013                                  -0.146058   0.153308    -0.952707      0.34074230                    -0.446543                     0.154427
Diemersfontein 2016                                   0.119925   0.165589     0.724228      0.46892844                    -0.204631                     0.444480
Diemersfontein 2018                                  -0.014187   0.153308    -0.092542      0.92626766                    -0.314672                     0.286298
Domaine Bousquet 2012                                -0.258769   0.143409    -1.804409      0.07117231                    -0.539851                     0.022314
Domaine Bousquet 2013                                -0.193584   0.128273    -1.509157      0.13126413                    -0.445000                     0.057832
Domaine Bousquet 2015                                 0.071885   0.135209     0.531656      0.59496642                    -0.193126                     0.336896
Domaine Bousquet 2017                                -0.054861   0.135209    -0.405748      0.68492941                    -0.319872                     0.210150
Domaine Bousquet 2018                                 0.046857   0.128273     0.365294      0.71489302                    -0.204558                     0.298273
Domaine Bousquet 2019                                 0.034824   0.135209     0.257555      0.79675109                    -0.230187                     0.299835
Domaine Drouhin 2015                                  0.503900   0.234168     2.151876      0.03141115                     0.044930                     0.962870
Domaine Drouhin 2016                                  0.567322   0.234168     2.422717      0.01540791                     0.108352                     1.026292
Domaine Faiveley 2011                                 0.038545   0.065832     0.585506      0.55820996                    -0.090485                     0.167575
Domaine Faiveley 2012                                 0.107227   0.066714     1.607267      0.10800116                    -0.023533                     0.237987
Domaine Faiveley 2013                                 0.070715   0.066714     1.059976      0.28915968                    -0.060045                     0.201475
Domaine Faiveley 2014                                -0.007741   0.067633    -0.114450      0.90888118                    -0.140302                     0.124821
Domaine Faiveley 2015                                 0.223639   0.064983     3.441493     0.00057891*                     0.096272                     0.351006
Domaine Faiveley 2016                                 0.214477   0.069592     3.081926      0.00205761                     0.078077                     0.350878
Domaine Faiveley 2017                                 0.305933   0.065832     4.647216   0.00000337***                     0.176903                     0.434963
Domaine Faiveley 2018                                 0.308783   0.070637     4.371385   0.00001237***                     0.170334                     0.447233
Domaine Faiveley 2019                                 0.299682   0.076679     3.908242    0.00009307**                     0.149390                     0.449974
Domaine Lafage 2013                                  -0.064088   0.181391    -0.353314      0.72385435                    -0.419616                     0.291439
Domaine Lafage 2014                                   0.037310   0.153308     0.243365      0.80772340                    -0.263175                     0.337795
Domaine Lafage 2015                                   0.116942   0.143409     0.815445      0.41482094                    -0.164140                     0.398025
Domaine Lafage 2016                                   0.055405   0.153308     0.361395      0.71780539                    -0.245080                     0.355890
Domaine Lafage 2017                                   0.112776   0.153308     0.735615      0.46196774                    -0.187709                     0.413261
Domaine Lafage 2018                                   0.057909   0.153308     0.377731      0.70563197                    -0.242576                     0.358394
Domaine Lapierre 2017                                 0.208027   0.181391     1.146843      0.25145137                    -0.147500                     0.563555
Domaine Lapierre 2018                                 0.222394   0.181391     1.226047      0.22018585                    -0.133133                     0.577922
Domaine Lapierre 2019                                 0.191247   0.181391     1.054336      0.29173345                    -0.164280                     0.546775
Domaine Sainte-Eugénie 2015                          -0.251734   0.234168    -1.075016      0.28237211                    -0.710704                     0.207236
Domaine de la Janasse 2015                            0.157658   0.153308     1.028371      0.30377943                    -0.142827                     0.458143
Domaine de la Motte 2016                             -0.283135   0.286791    -0.987250      0.32352396                    -0.845247                     0.278977
Domaine du Pere Guillot 2019                         -0.533050   0.128273    -4.155588   0.00003249***                    -0.784465                    -0.281634
Domaine du Vieux Lazaret 2015                         0.276453   0.405578     0.681627      0.49547747                    -0.518481                     1.071387
Domaine du Vieux Lazaret 2016                         0.323803   0.405578     0.798375      0.42465611                    -0.471131                     1.118737
Domaine du Vieux Lazaret 2017                         0.339797   0.405578     0.837811      0.40214037                    -0.455137                     1.134731
Domaine du Vieux Télégraphe 2015                      0.438148   0.286791     1.527760      0.12657758                    -0.123964                     1.000260
Domaine du Vieux Télégraphe 2016                      0.446954   0.286791     1.558464      0.11912859                    -0.115158                     1.009066
Domini Veneti 2012                                   -0.138609   0.135209    -1.025140      0.30530133                    -0.403620                     0.126403
Domini Veneti 2013                                   -0.005472   0.128273    -0.042661      0.96597220                    -0.256888                     0.245943
Domini Veneti 2014                                    0.009968   0.143409     0.069504      0.94458844                    -0.271115                     0.291050
Domini Veneti 2015                                    0.227960   0.128273     1.777144      0.07554968                    -0.023456                     0.479375
Domini Veneti 2016                                    0.082869   0.135209     0.612891      0.53995083                    -0.182143                     0.347880
Domini Veneti 2017                                    0.161706   0.135209     1.195964      0.23171523                    -0.103305                     0.426717
Dominio de Atauta 2014                                0.172168   0.153308     1.123015      0.26143578                    -0.128317                     0.472653
Dominio de Pingus 2009                                0.650398   0.234168     2.777489      0.00547980                     0.191429                     1.109368
Dominio de Pingus 2010                                0.617339   0.234168     2.636311      0.00838349                     0.158369                     1.076308
Dominio de Pingus 2011                                0.574981   0.234168     2.455422      0.01407479                     0.116011                     1.033950
Dominio de Pingus 2012                                0.597461   0.234168     2.551424      0.01073087                     0.138491                     1.056431
Dominio de Pingus 2013                                0.478613   0.234168     2.043890      0.04096882                     0.019643                     0.937583
Dominio de Pingus 2014                                0.543382   0.234168     2.320480      0.02031829                     0.084412                     1.002351
Dominio de Pingus 2015                                0.598440   0.234168     2.555605      0.01060283                     0.139470                     1.057410
Dominio de Pingus 2016                                0.663991   0.234168     2.835536      0.00457644                     0.205021                     1.122961
Dominio de Pingus 2017                                0.696315   0.234168     2.973575      0.00294471                     0.237346                     1.155285
Dominio de Pingus 2018                                0.602768   0.234168     2.574087      0.01005293                     0.143798                     1.061738
Dominio de Tares 2015                                 0.147101   0.202798     0.725357      0.46823616                    -0.250384                     0.544587
Don Guerino 2017                                     -0.022033   0.117100    -0.188156      0.85075466                    -0.251550                     0.207484
Don Guerino 2018                                      0.070832   0.108417     0.653330      0.51354634                    -0.141666                     0.283331
Don Guerino 2019                                      0.013134   0.112508     0.116741      0.90706554                    -0.207382                     0.233651
Don Guerino 2020                                      0.162784   0.112508     1.446861      0.14794117                    -0.057733                     0.383300
Don Laurindo 2012                                    -0.225026   0.135209    -1.664278      0.09606223                    -0.490037                     0.039985
Don Melchor 2006                                      0.807160   0.405578     1.990150      0.04657900                     0.012227                     1.602094
Don Melchor 2008                                      0.750673   0.405578     1.850873      0.06419284                    -0.044261                     1.545607
Don Melchor 2009                                      0.816675   0.405578     2.013610      0.04405503                     0.021741                     1.611609
Don Melchor 2010                                      0.805730   0.405578     1.986624      0.04696864                     0.010797                     1.600664
Don Melchor 2011                                      0.702006   0.405578     1.730879      0.08347859                    -0.092928                     1.496940
Don Melchor 2013                                      0.733048   0.405578     1.807418      0.07070224                    -0.061886                     1.527982
Don Melchor 2015                                      0.816833   0.405578     2.013999      0.04401420                     0.021899                     1.611767
Don Melchor 2016                                      0.802078   0.405578     1.977619      0.04797631                     0.007144                     1.597012
Don Pascual 2013                                     -0.332209   0.112508    -2.952755      0.00315076                    -0.552725                    -0.111693
Don Pascual 2015                                     -0.214610   0.112508    -1.907509      0.05645951                    -0.435127                     0.005906
Don Pascual 2016                                     -0.166834   0.112508    -1.482861      0.13811669                    -0.387350                     0.053682
Don Simón 2011                                       -0.855912   0.405578    -2.110354      0.03483211                    -1.650846                    -0.060978
Don Simón 2014                                       -1.093484   0.286791    -3.812823    0.00013753**                    -1.655596                    -0.531372
Dona Maria 2012                                       0.376197   0.165589     2.271870      0.02309797                     0.051642                     0.700753
Donnafugata 2011                                      0.035690   0.181391     0.196756      0.84401922                    -0.319838                     0.391217
Donnafugata 2012                                     -0.091369   0.165589    -0.551778      0.58110258                    -0.415924                     0.233187
Donnafugata 2014                                      0.068240   0.181391     0.376202      0.70676776                    -0.287288                     0.423767
Donnafugata 2015                                      0.077975   0.181391     0.429874      0.66728889                    -0.277552                     0.433503
Donnafugata 2016                                      0.075684   0.135209     0.559757      0.57564737                    -0.189327                     0.340696
Donnafugata 2017                                      0.086725   0.135209     0.641414      0.52125643                    -0.178286                     0.351736
Donnafugata 2018                                     -0.009949   0.135209    -0.073581      0.94134431                    -0.274960                     0.255062
Doppio Passo 2015                                     0.031042   0.202798     0.153068      0.87834532                    -0.366444                     0.428528
Doppio Passo 2016                                     0.180209   0.135209     1.332812      0.18259849                    -0.084802                     0.445220
Doppio Passo 2017                                     0.131786   0.165589     0.795859      0.42611742                    -0.192770                     0.456342
Doppio Passo 2018                                    -0.174664   0.135209    -1.291799      0.19643174                    -0.439675                     0.090348
Doppio Passo 2019                                     0.077955   0.135209     0.576547      0.56424768                    -0.187057                     0.342966
Doppio Passo 2020                                    -0.006618   0.128273    -0.051589      0.95885614                    -0.258033                     0.244798
Doña Dominga 2012                                    -0.618334   0.108417    -5.703279  0.00000001****                    -0.830832                    -0.405836
Doña Dominga 2013                                    -0.269417   0.101418    -2.656490      0.00789799                    -0.468197                    -0.070636
Doña Dominga 2014                                    -0.409911   0.101418    -4.041785    0.00005311**                    -0.608691                    -0.211131
Doña Dominga 2015                                    -0.479934   0.101418    -4.732224  0.00000223****                    -0.678714                    -0.281154
Doña Dominga 2016                                    -0.321790   0.101418    -3.172901     0.00151001*                    -0.520570                    -0.123010
Doña Dominga 2017                                    -0.193136   0.104743    -1.843913      0.06520081                    -0.398432                     0.012160
Doña Dominga 2018                                    -0.243973   0.101418    -2.405613      0.01614843                    -0.442753                    -0.045193
Doña Dominga 2019                                    -0.225900   0.108417    -2.083621      0.03719894                    -0.438399                    -0.013402
Doña Paula 2010                                      -0.196360   0.088532    -2.217953      0.02656184                    -0.369883                    -0.022837
Doña Paula 2011                                      -0.185746   0.090717    -2.047533      0.04061023                    -0.363551                    -0.007940
Doña Paula 2012                                      -0.224411   0.088532    -2.534799      0.01125375                    -0.397934                    -0.050888
Doña Paula 2013                                      -0.063722   0.090717    -0.702427      0.48241598                    -0.241528                     0.114084
Doña Paula 2014                                      -0.186886   0.084598    -2.209110      0.02717080                    -0.352698                    -0.021074
Doña Paula 2015                                      -0.125844   0.090717    -1.387220      0.16537992                    -0.303650                     0.051961
Doña Paula 2016                                      -0.163657   0.093072    -1.758393      0.07868585                    -0.346079                     0.018764
Doña Paula 2017                                      -0.190482   0.093072    -2.046608      0.04070102                    -0.372904                    -0.008060
Doña Paula 2018                                      -0.228139   0.088532    -2.576908      0.00997126                    -0.401662                    -0.054616
Doña Paula 2019                                      -0.071946   0.088532    -0.812651      0.41642161                    -0.245469                     0.101578
Doña Paula 2020                                      -0.078297   0.095621    -0.818826      0.41288893                    -0.265715                     0.109121
Drostdy-Hof 2016                                     -0.513004   0.165589    -3.098051      0.00194889                    -0.837560                    -0.188448
Dry Creek Vineyard 2016                               0.370974   0.122305     3.033177      0.00242099                     0.131255                     0.610693
Duca di Saragnano 2013                               -0.027892   0.165589    -0.168441      0.86623678                    -0.352448                     0.296664
Duca di Saragnano 2015                               -0.381088   0.135209    -2.818499      0.00482648                    -0.646099                    -0.116077
Duca di Saragnano 2016                               -0.070698   0.135209    -0.522880      0.60105996                    -0.335709                     0.194313
Duckhorn 2011                                         0.463980   0.143409     3.235360     0.00121556*                     0.182898                     0.745062
Duckhorn 2012                                         0.447064   0.143409     3.117403      0.00182539                     0.165982                     0.728146
Duckhorn 2013                                         0.508423   0.143409     3.545262     0.00039253*                     0.227340                     0.789505
Duckhorn 2014                                         0.474725   0.143409     3.310288     0.00093256*                     0.193643                     0.755808
Duckhorn 2015                                         0.541463   0.143409     3.775651    0.00015975**                     0.260380                     0.822545
Duckhorn 2016                                         0.530345   0.143409     3.698130    0.00021739**                     0.249263                     0.811428
Duckhorn 2017                                         0.490951   0.143409     3.423429     0.00061878*                     0.209868                     0.772033
Duorum 2013                                          -0.033192   0.234168    -0.141746      0.88728151                    -0.492162                     0.425777
Duorum 2014                                           0.343980   0.181391     1.896342      0.05791966                    -0.011548                     0.699507
Duorum 2015                                           0.237931   0.202798     1.173241      0.24070378                    -0.159554                     0.635417
Duorum 2016                                           0.025041   0.234168     0.106935      0.91484089                    -0.433929                     0.484010
Duorum 2017                                           0.263602   0.202798     1.299824      0.19366643                    -0.133883                     0.661088
Durigutti Family Winemakers 2010                     -0.164507   0.117100    -1.404840      0.16007399                    -0.394025                     0.065010
Durigutti Family Winemakers 2012                     -0.138640   0.101418    -1.367010      0.17162724                    -0.337420                     0.060140
Durigutti Family Winemakers 2013                      0.023602   0.108417     0.217697      0.82766565                    -0.188896                     0.236100
Durigutti Family Winemakers 2015                     -0.080984   0.112508    -0.719805      0.47164767                    -0.301500                     0.139532
Durigutti Family Winemakers 2017                     -0.000442   0.098392    -0.004493      0.99641533                    -0.193290                     0.192406
Durigutti Family Winemakers 2018                      0.199434   0.098392     2.026936      0.04267345                     0.006586                     0.392282
E. Guigal 2006                                        0.313205   0.095621     3.275484     0.00105542*                     0.125788                     0.500623
E. Guigal 2007                                        0.288277   0.098392     2.929894      0.00339207                     0.095429                     0.481125
E. Guigal 2008                                        0.222578   0.101418     2.194656      0.02819218                     0.023798                     0.421358
E. Guigal 2009                                        0.296848   0.095621     3.104418      0.00190744                     0.109430                     0.484265
E. Guigal 2010                                        0.314080   0.095621     3.284635     0.00102174*                     0.126663                     0.501498
E. Guigal 2011                                        0.251792   0.095621     2.633231      0.00845989                     0.064375                     0.439210
E. Guigal 2012                                        0.274816   0.095621     2.874013      0.00405436                     0.087399                     0.462234
E. Guigal 2013                                        0.189680   0.095621     1.983664      0.04729796                     0.002262                     0.377098
E. Guigal 2014                                        0.271885   0.095621     2.843360      0.00446559                     0.084467                     0.459303
E. Guigal 2015                                        0.331724   0.095621     3.469153     0.00052248*                     0.144306                     0.519142
E. Guigal 2016                                        0.361910   0.098392     3.678255    0.00023504**                     0.169062                     0.554758
E. Guigal 2017                                        0.335096   0.098392     3.405738     0.00066029*                     0.142248                     0.527944
E. Guigal 2018                                        0.229553   0.112508     2.040326      0.04132227                     0.009037                     0.450070
E. Guigal 2020                                        0.236295   0.104743     2.255961      0.02407669                     0.030999                     0.441591
EGO 2015                                              0.019665   0.143409     0.137123      0.89093386                    -0.261418                     0.300747
EGO 2017                                              0.079131   0.135209     0.585246      0.55838470                    -0.185880                     0.344142
EGO 2018                                             -0.050029   0.143409    -0.348857      0.72719822                    -0.331112                     0.231053
Edna Valley Vineyard 2013                            -0.005907   0.143409    -0.041191      0.96714410                    -0.286990                     0.275175
El Coto 2005                                         -0.056354   0.143409    -0.392958      0.69435200                    -0.337436                     0.224729
El Coto 2008                                         -0.113355   0.143409    -0.790431      0.42927927                    -0.394437                     0.167727
El Coto 2010                                         -0.209969   0.135209    -1.552913      0.12044922                    -0.474980                     0.055043
El Coto 2011                                         -0.054694   0.143409    -0.381386      0.70291817                    -0.335777                     0.226388
El Coto 2012                                         -0.063697   0.128273    -0.496570      0.61949403                    -0.315112                     0.187719
El Coto 2013                                         -0.080956   0.153308    -0.528062      0.59745825                    -0.381441                     0.219529
El Coto 2014                                         -0.137044   0.117100    -1.170310      0.24188095                    -0.366561                     0.092473
El Coto 2015                                          0.048591   0.128273     0.378807      0.70483257                    -0.202825                     0.300006
El Coto 2016                                         -0.031027   0.122305    -0.253681      0.79974302                    -0.270746                     0.208693
El Coto 2017                                         -0.270209   0.165589    -1.631800      0.10272703                    -0.594764                     0.054347
El Coto 2020                                          0.032583   0.128273     0.254016      0.79948391                    -0.218832                     0.283999
El Enemigo 2009                                       0.564446   0.135209     4.174605   0.00002989***                     0.299435                     0.829457
El Enemigo 2010                                       0.521987   0.135209     3.860581    0.00011324**                     0.256976                     0.786998
El Enemigo 2011                                       0.617351   0.122305     5.047618  0.00000045****                     0.377632                     0.857070
El Enemigo 2012                                       0.523009   0.128273     4.077315    0.00004562**                     0.271594                     0.774425
El Enemigo 2013                                       0.508855   0.112508     4.522825   0.00000611***                     0.288338                     0.729371
El Enemigo 2014                                       0.538020   0.108417     4.962495  0.00000070****                     0.325522                     0.750518
El Enemigo 2015                                       0.463059   0.108417     4.271084   0.00001948***                     0.250561                     0.675558
El Enemigo 2016                                       0.645719   0.112508     5.739305  0.00000001****                     0.425202                     0.866235
El Enemigo 2017                                       0.621875   0.108417     5.735941  0.00000001****                     0.409377                     0.834373
El Enemigo 2018                                       0.609977   0.122305     4.987328  0.00000061****                     0.370258                     0.849696
El Enemigo 2019                                       0.629259   0.112508     5.593008  0.00000002****                     0.408743                     0.849775
El Enemigo 2020                                       0.523233   0.128273     4.079055    0.00004528**                     0.271817                     0.774648
El Esteco 2011                                       -0.206186   0.104743    -1.968498      0.04901541                    -0.411482                    -0.000890
El Esteco 2012                                       -0.207539   0.101418    -2.046366      0.04072477                    -0.406319                    -0.008759
El Esteco 2013                                       -0.222464   0.098392    -2.260999      0.02376291                    -0.415312                    -0.029615
El Esteco 2014                                       -0.172746   0.095621    -1.806565      0.07083521                    -0.360163                     0.014672
El Esteco 2015                                       -0.164784   0.093072    -1.770494      0.07665000                    -0.347205                     0.017638
El Esteco 2016                                       -0.087020   0.093072    -0.934972      0.34980632                    -0.269442                     0.095402
El Esteco 2017                                       -0.052198   0.093072    -0.560837      0.57491085                    -0.234620                     0.130223
El Esteco 2018                                       -0.053836   0.090717    -0.593448      0.55288356                    -0.231641                     0.123970
El Esteco 2019                                       -0.114802   0.090717    -1.265500      0.20569700                    -0.292608                     0.063003
El Miracle 2013                                      -0.418195   0.234168    -1.785880      0.07412388                    -0.877165                     0.040774
El Miracle 2015                                      -0.466213   0.234168    -1.990936      0.04649251                    -0.925183                    -0.007243
El Principal 2012                                     0.435827   0.234168     1.861176      0.06272427                    -0.023142                     0.894797
El Principal 2013                                     0.554945   0.234168     2.369863      0.01779785                     0.095976                     1.013915
El Principal 2014                                     0.474593   0.181391     2.616408      0.00888830                     0.119066                     0.830121
El Principal 2015                                     0.581709   0.234168     2.484157      0.01298862                     0.122740                     1.040679
Elouan 2015                                           0.194137   0.234168     0.829053      0.40707802                    -0.264832                     0.653107
Elouan 2016                                           0.301315   0.234168     1.286750      0.19818636                    -0.157654                     0.760285
Elouan 2017                                           0.311721   0.234168     1.331185      0.18313328                    -0.147249                     0.770690
Emiliana 2010                                        -0.340837   0.066714    -5.108923  0.00000033****                    -0.471598                    -0.210077
Emiliana 2011                                        -0.404968   0.065832    -6.151582  0.00000000****                    -0.533998                    -0.275938
Emiliana 2012                                        -0.353380   0.066714    -5.296919  0.00000012****                    -0.484140                    -0.222619
Emiliana 2013                                        -0.269744   0.065832    -4.097489    0.00004182**                    -0.398774                    -0.140714
Emiliana 2014                                        -0.322463   0.068592    -4.701194  0.00000259****                    -0.456903                    -0.188023
