                                                   Coefficient  Std Error      t-value         P-value  Confidence Interval (0.025)  Confidence Interval (0.975)
Altos Las Hormigas 2018                               0.000281   0.165589     0.001695      0.99864762                    -0.324275                     0.324836
Altos de José Ignacio 2015                           -0.145610   0.286791    -0.507721      0.61165118                    -0.707722                     0.416502
Aluado 2019                                           0.195719   0.405578     0.482568      0.62940428                    -0.599215                     0.990653
Alvarez de Toledo 2009                               -0.321984   0.405578    -0.793889      0.42726316                    -1.116918                     0.472950
Alves de Sousa 2011                                   0.076782   0.101418     0.757080      0.44900490                    -0.121998                     0.275562
Alves de Sousa 2013                                   0.152698   0.101418     1.505625      0.13216878                    -0.046082                     0.351478
Alves de Sousa 2015                                   0.029307   0.104743     0.279800      0.77963216                    -0.175989                     0.234603
Amalaya 2013                                         -0.162423   0.202798    -0.800911      0.42318656                    -0.559909                     0.235062
Amalaya 2014                                         -0.205159   0.181391    -1.131029      0.25804738                    -0.560686                     0.150369
Amalaya 2016                                         -0.129897   0.181391    -0.716115      0.47392330                    -0.485424                     0.225631
Amalaya 2017                                         -0.008123   0.181391    -0.044781      0.96428197                    -0.363650                     0.347405
Amalaya 2018                                         -0.161294   0.181391    -0.889203      0.37389736                    -0.516821                     0.194234
Anciano 2005                                         -0.152225   0.153308    -0.992936      0.32074516                    -0.452710                     0.148260
Anciano 2006                                         -0.218682   0.143409    -1.524883      0.12729363                    -0.499764                     0.062400
Anciano 2007                                          0.018385   0.135209     0.135974      0.89184245                    -0.246626                     0.283396
Anciano 2008                                          0.002054   0.143409     0.014324      0.98857168                    -0.279028                     0.283137
Anciano 2009                                         -0.265617   0.143409    -1.852166      0.06400697                    -0.546700                     0.015465
Anciano 2010                                         -0.163375   0.128273    -1.273651      0.20279207                    -0.414791                     0.088041
Anciano 2013                                         -0.192900   0.128273    -1.503826      0.13263140                    -0.444316                     0.058515
Anciano 2015                                         -0.059847   0.135209    -0.442622      0.65804106                    -0.324858                     0.205165
Anciano 2016                                         -0.060407   0.135209    -0.446767      0.65504482                    -0.325418                     0.204604
Anciano 2018                                         -0.106174   0.122305    -0.868102      0.38534200                    -0.345893                     0.133546
Anciens Temps 2017                                   -0.162162   0.202798    -0.799619      0.42393452                    -0.559647                     0.235324
Andeluna 2011                                        -0.099943   0.112508    -0.888320      0.37437209                    -0.320460                     0.120573
Andeluna 2012                                        -0.120301   0.117100    -1.027336      0.30426628                    -0.349819                     0.109216
Andeluna 2013                                        -0.138535   0.122305    -1.132696      0.25734673                    -0.378254                     0.101184
Andeluna 2014                                         0.107497   0.117100     0.917990      0.35862761                    -0.122020                     0.337014
Andeluna 2015                                         0.060599   0.143409     0.422562      0.67261643                    -0.220483                     0.341682
Andeluna 2016                                        -0.066605   0.143409    -0.464444      0.64233173                    -0.347688                     0.214477
Andeluna 2017                                         0.210919   0.122305     1.724528      0.08461788                    -0.028800                     0.450638
Andeluna 2018                                         0.060319   0.122305     0.493187      0.62188220                    -0.179400                     0.300039
Angeline 2018                                        -0.236294   0.165589    -1.426987      0.15358903                    -0.560850                     0.088262
Angélica Zapata 2007                                  0.455692   0.202798     2.247019      0.02464247                     0.058206                     0.853177
Angélica Zapata 2008                                  0.521934   0.202798     2.573658      0.01006538                     0.124448                     0.919419
Angélica Zapata 2009                                  0.474236   0.202798     2.338460      0.01936672                     0.076750                     0.871721
Angélica Zapata 2010                                  0.542592   0.181391     2.991281      0.00277925                     0.187065                     0.898120
Angélica Zapata 2011                                  0.627153   0.181391     3.457462     0.00054567*                     0.271626                     0.982681
Angélica Zapata 2012                                  0.520194   0.202798     2.565081      0.01031763                     0.122709                     0.917680
Angélica Zapata 2013                                  0.615774   0.165589     3.718684    0.00020045**                     0.291219                     0.940330
Angélica Zapata 2014                                  0.506107   0.181391     2.790142      0.00527018                     0.150580                     0.861635
Angélica Zapata 2015                                  0.742447   0.181391     4.093069    0.00004263**                     0.386919                     1.097974
Angélica Zapata 2016                                  0.672587   0.202798     3.316529     0.00091198*                     0.275101                     1.070072
Animal 2016                                           0.048929   0.234168     0.208950      0.83448766                    -0.410040                     0.507899
Antaño 2009                                          -0.632144   0.202798    -3.117107      0.00182723                    -1.029630                    -0.234659
Antaño 2011                                          -0.593596   0.202798    -2.927024      0.00342353                    -0.991081                    -0.196110
Antaño 2012                                          -0.610158   0.202798    -3.008695      0.00262483                    -1.007644                    -0.212673
Antaño 2013                                          -0.622213   0.202798    -3.068137      0.00215496                    -1.019699                    -0.224727
Antaño 2014                                          -0.601869   0.202798    -2.967819      0.00300041                    -0.999354                    -0.204383
Antiche Terre Venete 2012                            -0.005604   0.165589    -0.033844      0.97300171                    -0.330160                     0.318952
Antiche Terre Venete 2014                            -0.180546   0.181391    -0.995343      0.31957373                    -0.536074                     0.174981
Antiche Terre Venete 2016                            -0.081130   0.165589    -0.489945      0.62417479                    -0.405685                     0.243426
Antigal 2014                                         -0.114334   0.405578    -0.281903      0.77801855                    -0.909268                     0.680600
Antigal 2015                                         -0.196846   0.405578    -0.485348      0.62743150                    -0.991780                     0.598088
Antigal 2017                                         -0.185966   0.286791    -0.648437      0.51670463                    -0.748078                     0.376146
Antinori 2000                                         0.358852   0.112508     3.189563     0.00142562*                     0.138335                     0.579368
Antinori 2001                                         0.600557   0.117100     5.128563  0.00000029****                     0.371039                     0.830074
Antinori 2004                                         0.295150   0.098392     2.999743      0.00270320                     0.102302                     0.487998
Antinori 2005                                         0.271916   0.104743     2.596038      0.00943291                     0.066620                     0.477212
Antinori 2006                                         0.399658   0.101418     3.940687    0.00008134**                     0.200877                     0.598438
Antinori 2007                                         0.456463   0.104743     4.357944   0.00001315***                     0.251167                     0.661759
Antinori 2008                                         0.465828   0.095621     4.871601  0.00000111****                     0.278410                     0.653245
Antinori 2009                                         0.503124   0.104743     4.803429  0.00000156****                     0.297828                     0.708420
Antinori 2010                                         0.402591   0.104743     3.843621    0.00012136**                     0.197295                     0.607887
Antinori 2011                                         0.379845   0.101418     3.745335    0.00018032**                     0.181065                     0.578625
Antinori 2012                                         0.371247   0.101418     3.660551    0.00025189**                     0.172466                     0.570027
Antinori 2013                                         0.331239   0.098392     3.366535     0.00076167*                     0.138391                     0.524087
Antinori 2014                                         0.267428   0.104743     2.553192      0.01067657                     0.062132                     0.472724
Antinori 2015                                         0.400522   0.098392     4.070692    0.00004693**                     0.207674                     0.593370
Antinori 2016                                         0.415807   0.101418     4.099923    0.00004138**                     0.217027                     0.614587
Antinori 2017                                         0.389074   0.108417     3.588673    0.00033263**                     0.176576                     0.601572
Antinori 2018                                         0.349782   0.101418     3.448905     0.00056326*                     0.151002                     0.548562
Antinori 2019                                         0.372413   0.101418     3.672054    0.00024082**                     0.173633                     0.571193
Antinori 2020                                         0.357217   0.101418     3.522218     0.00042828*                     0.158437                     0.555997
Apaltagua 2012                                       -0.527547   0.128273    -4.112689    0.00003916**                    -0.778963                    -0.276131
Apaltagua 2013                                       -0.354078   0.122305    -2.895034      0.00379256                    -0.593798                    -0.114359
Apaltagua 2014                                       -0.427537   0.135209    -3.162037     0.00156749*                    -0.692549                    -0.162526
Apaltagua 2015                                       -0.335515   0.122305    -2.743254      0.00608519                    -0.575234                    -0.095796
Apaltagua 2016                                       -0.352493   0.122305    -2.882071      0.00395213                    -0.592212                    -0.112774
Apaltagua 2017                                       -0.212129   0.122305    -1.734420      0.08284886                    -0.451848                     0.027590
Apaltagua 2018                                       -0.307581   0.128273    -2.397861      0.01649422                    -0.558996                    -0.056165
Apothic 2011                                         -0.180820   0.202798    -0.891626      0.37259680                    -0.578306                     0.216665
